taskID,taskType,x1_L1,x2_L1,x1_L2,x2_L2,p_L1,p_L2,t_L1,t_L2,menuID,p_L1_hat
1,Risk,2,1.6,3.85,0.1,0.10000000149011612,0.10000000149011612,0,0,1,0.975
1,Risk,2,1.6,3.85,0.1,0.20000000298023224,0.20000000298023224,0,0,2,0.9625
1,Risk,2,1.6,3.85,0.1,0.30000001192092896,0.30000001192092896,0,0,3,0.9076576576576577
1,Risk,2,1.6,3.85,0.1,0.4000000059604645,0.4000000059604645,0,0,4,0.9018691588785047
1,Risk,2,1.6,3.85,0.1,0.5,0.5,0,0,5,0.713963963963964
1,Risk,2,1.6,3.85,0.1,0.6000000238418579,0.6000000238418579,0,0,6,0.5607476635514018
1,Risk,2,1.6,3.85,0.1,0.699999988079071,0.699999988079071,0,0,7,0.4189189189189189
1,Risk,2,1.6,3.85,0.1,0.800000011920929,0.800000011920929,0,0,8,0.2603550295857988
1,Risk,2,1.6,3.85,0.1,0.8999999761581421,0.8999999761581421,0,0,9,0.08284023668639054
1,Risk,2,1.6,3.85,0.1,1,1,0,0,10,0
2,Risk,2.25,1.5,4,0.5,0.10000000149011612,0.10000000149011612,0,0,11,0.95625
2,Risk,2.25,1.5,4,0.5,0.20000000298023224,0.20000000298023224,0,0,12,0.921875
2,Risk,2.25,1.5,4,0.5,0.30000001192092896,0.30000001192092896,0,0,13,0.8603603603603603
2,Risk,2.25,1.5,4,0.5,0.4000000059604645,0.4000000059604645,0,0,14,0.8037383177570093
2,Risk,2.25,1.5,4,0.5,0.5,0.5,0,0,15,0.6576576576576577
2,Risk,2.25,1.5,4,0.5,0.6000000238418579,0.6000000238418579,0,0,16,0.5046728971962616
2,Risk,2.25,1.5,4,0.5,0.699999988079071,0.699999988079071,0,0,17,0.3400900900900901
2,Risk,2.25,1.5,4,0.5,0.800000011920929,0.800000011920929,0,0,18,0.1834319526627219
2,Risk,2.25,1.5,4,0.5,0.8999999761581421,0.8999999761581421,0,0,19,0.0621301775147929
2,Risk,2.25,1.5,4,0.5,1,1,0,0,20,0
3,Risk,2,1.75,4,0.15,0.10000000149011612,0.10000000149011612,0,0,21,0.98125
3,Risk,2,1.75,4,0.15,0.20000000298023224,0.20000000298023224,0,0,22,0.959375
3,Risk,2,1.75,4,0.15,0.30000001192092896,0.30000001192092896,0,0,23,0.9324324324324325
3,Risk,2,1.75,4,0.15,0.4000000059604645,0.4000000059604645,0,0,24,0.8925233644859814
3,Risk,2,1.75,4,0.15,0.5,0.5,0,0,25,0.7837837837837838
3,Risk,2,1.75,4,0.15,0.6000000238418579,0.6000000238418579,0,0,26,0.602803738317757
3,Risk,2,1.75,4,0.15,0.699999988079071,0.699999988079071,0,0,27,0.481981981981982
3,Risk,2,1.75,4,0.15,0.800000011920929,0.800000011920929,0,0,28,0.35502958579881655
3,Risk,2,1.75,4,0.15,0.8999999761581421,0.8999999761581421,0,0,29,0.1804733727810651
3,Risk,2,1.75,4,0.15,1,1,0,0,30,0
4,Risk,2.5,1,4.5,0.05,0.10000000149011612,0.10000000149011612,0,0,31,0.978125
4,Risk,2.5,1,4.5,0.05,0.20000000298023224,0.20000000298023224,0,0,32,0.965625
4,Risk,2.5,1,4.5,0.05,0.30000001192092896,0.30000001192092896,0,0,33,0.9211711711711712
4,Risk,2.5,1,4.5,0.05,0.4000000059604645,0.4000000059604645,0,0,34,0.9158878504672897
4,Risk,2.5,1,4.5,0.05,0.5,0.5,0,0,35,0.7612612612612613
4,Risk,2.5,1,4.5,0.05,0.6000000238418579,0.6000000238418579,0,0,36,0.5654205607476636
4,Risk,2.5,1,4.5,0.05,0.699999988079071,0.699999988079071,0,0,37,0.46621621621621623
4,Risk,2.5,1,4.5,0.05,0.800000011920929,0.800000011920929,0,0,38,0.363905325443787
4,Risk,2.5,1,4.5,0.05,0.8999999761581421,0.8999999761581421,0,0,39,0.1893491124260355
4,Risk,2.5,1,4.5,0.05,1,1,0,0,40,0
5,Time,3,3,3.0124482421875,3.0124482421875,1,1,0.08333333333333333,0.16666666666666666,41,0.9356435643564357
5,Time,3,3,3.02479443359375,3.02479443359375,1,1,0.08333333333333333,0.16666666666666666,42,0.8564356435643564
5,Time,3,3,3.037040771484375,3.037040771484375,1,1,0.08333333333333333,0.16666666666666666,43,0.8143564356435643
5,Time,3,3,3.04918896484375,3.04918896484375,1,1,0.08333333333333333,0.16666666666666666,44,0.7475247524752475
5,Time,3,3,3.0612412109375,3.0612412109375,1,1,0.08333333333333333,0.16666666666666666,45,0.6014851485148515
5,Time,3,3,3.073199462890625,3.073199462890625,1,1,0.08333333333333333,0.16666666666666666,46,0.41089108910891087
5,Time,3,3,3.085065185546875,3.085065185546875,1,1,0.08333333333333333,0.16666666666666666,47,0.297029702970297
5,Time,3,3,3.09684033203125,3.09684033203125,1,1,0.08333333333333333,0.16666666666666666,48,0.2103960396039604
5,Time,3,3,3.108526611328125,3.108526611328125,1,1,0.08333333333333333,0.16666666666666666,49,0.11633663366336634
5,Time,3,3,3.120125732421875,3.120125732421875,1,1,0.08333333333333333,0.16666666666666666,50,0.09405940594059406
6,Time,3,3,3.050103759765625,3.050103759765625,1,1,0.08333333333333333,0.4166666666666667,51,0.9034653465346535
6,Time,3,3,3.100414306640625,3.100414306640625,1,1,0.08333333333333333,0.4166666666666667,52,0.8094059405940595
6,Time,3,3,3.150929931640625,3.150929931640625,1,1,0.08333333333333333,0.4166666666666667,53,0.7747524752475248
6,Time,3,3,3.2016484375,3.2016484375,1,1,0.08333333333333333,0.4166666666666667,54,0.6435643564356436
6,Time,3,3,3.25256884765625,3.25256884765625,1,1,0.08333333333333333,0.4166666666666667,55,0.49257425742574257
6,Time,3,3,3.303689453125,3.303689453125,1,1,0.08333333333333333,0.4166666666666667,56,0.31683168316831684
6,Time,3,3,3.35500830078125,3.35500830078125,1,1,0.08333333333333333,0.4166666666666667,57,0.2202970297029703
6,Time,3,3,3.4065244140625,3.4065244140625,1,1,0.08333333333333333,0.4166666666666667,58,0.12623762376237624
6,Time,3,3,3.45823583984375,3.45823583984375,1,1,0.08333333333333333,0.4166666666666667,59,0.09158415841584158
6,Time,3,3,3.510141357421875,3.510141357421875,1,1,0.08333333333333333,0.4166666666666667,60,0.05198019801980198
7,Time,3,3,3.07546875,3.07546875,1,1,0.08333333333333333,0.5833333333333334,61,0.8861386138613861
7,Time,3,3,3.151875,3.151875,1,1,0.08333333333333333,0.5833333333333334,62,0.7772277227722773
7,Time,3,3,3.22921875,3.22921875,1,1,0.08333333333333333,0.5833333333333334,63,0.7277227722772277
7,Time,3,3,3.3075,3.3075,1,1,0.08333333333333333,0.5833333333333334,64,0.6287128712871287
7,Time,3,3,3.38671875,3.38671875,1,1,0.08333333333333333,0.5833333333333334,65,0.5099009900990099
7,Time,3,3,3.466875,3.466875,1,1,0.08333333333333333,0.5833333333333334,66,0.349009900990099
7,Time,3,3,3.54796875,3.54796875,1,1,0.08333333333333333,0.5833333333333334,67,0.22524752475247525
7,Time,3,3,3.63,3.63,1,1,0.08333333333333333,0.5833333333333334,68,0.12376237623762376
7,Time,3,3,3.71296875,3.71296875,1,1,0.08333333333333333,0.5833333333333334,69,0.09405940594059406
7,Time,3,3,3.796875,3.796875,1,1,0.08333333333333333,0.5833333333333334,70,0.06435643564356436
8,Time,3,3,3.1528359375,3.1528359375,1,1,0.08333333333333333,1.0833333333333333,71,0.8712871287128713
8,Time,3,3,3.311438720703125,3.311438720703125,1,1,0.08333333333333333,1.0833333333333333,72,0.7970297029702971
8,Time,3,3,3.475951171875,3.475951171875,1,1,0.08333333333333333,1.0833333333333333,73,0.7227722772277227
8,Time,3,3,3.646518798828125,3.646518798828125,1,1,0.08333333333333333,1.0833333333333333,74,0.6089108910891089
8,Time,3,3,3.8232880859375,3.8232880859375,1,1,0.08333333333333333,1.0833333333333333,75,0.48267326732673266
8,Time,3,3,4.006407470703125,4.006407470703125,1,1,0.08333333333333333,1.0833333333333333,76,0.3118811881188119
8,Time,3,3,4.19602734375,4.19602734375,1,1,0.08333333333333333,1.0833333333333333,77,0.21534653465346534
8,Time,3,3,4.3922998046875,4.3922998046875,1,1,0.08333333333333333,1.0833333333333333,78,0.13366336633663367
8,Time,3,3,4.59537890625,4.59537890625,1,1,0.08333333333333333,1.0833333333333333,79,0.07920792079207921
8,Time,3,3,4.805419921875,4.805419921875,1,1,0.08333333333333333,1.0833333333333333,80,0.034653465346534656
9,Time,3,3,3.232149658203125,3.232149658203125,1,1,0.08333333333333333,1.5833333333333333,81,0.8935643564356436
9,Time,3,3,3.479080322265625,3.479080322265625,1,1,0.08333333333333333,1.5833333333333333,82,0.7871287128712872
9,Time,3,3,3.74153564453125,3.74153564453125,1,1,0.08333333333333333,1.5833333333333333,83,0.7079207920792079
9,Time,3,3,4.020286865234375,4.020286865234375,1,1,0.08333333333333333,1.5833333333333333,84,0.5767326732673267
9,Time,3,3,4.3161337890625,4.3161337890625,1,1,0.08333333333333333,1.5833333333333333,85,0.4603960396039604
9,Time,3,3,4.62990478515625,4.62990478515625,1,1,0.08333333333333333,1.5833333333333333,86,0.3613861386138614
9,Time,3,3,4.9624580078125,4.9624580078125,1,1,0.08333333333333333,1.5833333333333333,87,0.2623762376237624
9,Time,3,3,5.31468310546875,5.31468310546875,1,1,0.08333333333333333,1.5833333333333333,88,0.1608910891089109
9,Time,3,3,5.68749951171875,5.68749951171875,1,1,0.08333333333333333,1.5833333333333333,89,0.1188118811881188
9,Time,3,3,6.081859375,6.081859375,1,1,0.08333333333333333,1.5833333333333333,90,0.06188118811881188
10,Time,3,3,3.313458251953125,3.313458251953125,1,1,0.08333333333333333,2.0833333333333335,91,0.9331683168316832
10,Time,3,3,3.655208740234375,3.655208740234375,1,1,0.08333333333333333,2.0833333333333335,92,0.8316831683168316
10,Time,3,3,4.027412353515625,4.027412353515625,1,1,0.08333333333333333,2.0833333333333335,93,0.7376237623762376
10,Time,3,3,4.4323662109375,4.4323662109375,1,1,0.08333333333333333,2.0833333333333335,94,0.594059405940594
10,Time,3,3,4.87251025390625,4.87251025390625,1,1,0.08333333333333333,2.0833333333333335,95,0.4628712871287129
10,Time,3,3,5.35043359375,5.35043359375,1,1,0.08333333333333333,2.0833333333333335,96,0.3118811881188119
10,Time,3,3,5.8688818359375,5.8688818359375,1,1,0.08333333333333333,2.0833333333333335,97,0.2301980198019802
10,Time,3,3,6.4307666015625,6.4307666015625,1,1,0.08333333333333333,2.0833333333333335,98,0.16336633663366337
10,Time,3,3,7.03916943359375,7.03916943359375,1,1,0.08333333333333333,2.0833333333333335,99,0.09900990099009901
10,Time,3,3,7.697353515625,7.697353515625,1,1,0.08333333333333333,2.0833333333333335,100,0.07178217821782178
